ticker,qend,rev_growth_yoy,gross_margin,op_margin,net_margin,roa,roe,asset_turnover,current_ratio,debt_to_equity,lt_debt_to_assets,cash_to_assets,interest_cov,ocf_to_revenue,fcf_to_revenue,capex_to_revenue,log_assets,log_revenue,mom_3m,mom_6m,mom_12m,vol_90d,rel_mom_3m,spy_mom_3m,spy_vol_90d,fwd_ret_90d,spy_fwd_ret_90d,excess_ret_90d,target_up,target
PFE,2025-06-30,,0.7421688391455674,0.25708046133897494,0.19859414454377944,0.014119702079138262,0.03280906477253509,0.07109827991945462,1.158431850713036,1.3200631377191498,0.27477619544384874,0.00794779106722628,5.654434250764526,-0.03971882890875589,-0.08189449259537296,0.04217566368661708,26.051603064480616,23.4079109296023,0.006618910295741909,-0.05633920484815935,-0.08360234551554069,0.2709323265018242,-0.09803295374477594,0.10465186404051785,0.2871056750993482,0.0008885503304256748,0.07715462675611473,-0.07626607642568906,1,0
PFE,2025-09-30,,0.7494896121051999,0.33187222288939594,0.21262159241023176,0.016964418318314002,0.038156916412538655,0.07978690276001169,1.2822166356978906,1.2460533830454412,0.2708989081640964,0.006434118554503165,6.113496932515337,0.2763900564428966,0.24024258436411672,0.03614747207877987,26.06431217857092,23.53591626476004,0.023683335886313994,0.08744900037277459,-0.05777888084752336,0.22499846724371708,-0.05299797403646034,0.07668130992277433,0.0997097149141706,-0.001561485999331258,0.03557971664155657,-0.03714120264088783,0,0
PFE,2025-12-31,-0.011652780905199833,0.6997209090391296,0.2100017087201686,-0.09386569459474853,-0.007916986933128364,-0.019057310698922244,0.08434377401998462,1.1599069868051048,1.40368425921643,0.29211664104534973,0.0054861644888547275,-1.309423347398031,0.30460784872130775,0.2564788973059179,0.04812895141538987,26.061572851710608,23.588718567733483,-0.06431119596641444,0.01558999556657481,0.006470253428841666,0.27200936211737403,-0.08629961486896831,0.021988418902553875,0.11473373685833697,0.1466011687351092,-0.04370584558740376,0.19030701432251296,1,1
UNH,2024-09-30,,,,,,,,,,,,,,,,,,0.1776519354036521,0.2816863757919448,0.15355227042501896,0.2386318845334323,0.1293651745647082,0.0482867608389439,0.1386946980293202,-0.1281596024060795,0.028652561032577628,-0.15681216343865712,0,0
UNH,2024-12-31,,0.2113742101242969,0.0771077405338915,0.054986260874740844,0.018583335009621896,0.059822141639146106,0.3379632423443901,0.8266341585637329,2.111927734248527,0.2425891282628957,0.0848604322142431,7.770687936191425,0.02350035215808426,0.014453361373714127,0.009046990784370133,26.421291774490232,25.33647363461697,-0.14267830041066243,0.04424254385633963,-0.04739095046210928,0.3103792104515267,-0.17641683089503024,0.03373853048436781,0.12679056892573304,0.03979026985852152,-0.04266863094930573,0.08245890080782725,1,1
UNH,2025-03-31,,0.21696554871092857,0.08322153775952544,0.057421857175450605,0.020310532941670165,0.06620509690860497,0.3537073501404177,0.8485427994818059,2.1530440455396787,0.2301074921721166,0.09915426579295653,9.122244488977955,0.049792379648642485,0.04159707962582706,0.008195300022815424,26.4591604855186,25.419875083251284,0.03979026985852152,-0.10856523862843648,0.08663645158772382,0.33673723236270736,0.08245890080782725,-0.04266863094930573,0.152735245381666,-0.4001247935708845,0.10777191871295244,-0.5078967122838369,0,0
UNH,2025-06-30,,0.17929329128440366,0.04614033830275229,0.030515338302752295,0.011037906751400803,0.03595709640640175,0.36171667644285144,0.8458038833373954,2.1513977450276593,0.23817702780217323,0.09267175028275319,4.974683544303797,0.06439936926605505,0.056461439220183485,0.00793793004587156,26.455224281148933,25.43833024579287,-0.3994023808792593,-0.3745865625432738,-0.35740290775354955,0.6689606477424479,-0.5040542449197771,0.10465186404051785,0.2871056750993482,0.11343297057303126,0.07715462675611473,0.036278343816916525,1,1
UNH,2025-09-30,,0.1823684838416062,0.03813151173991039,0.020749198045262943,0.007447608232969306,0.02451272093290321,0.3589347509587051,0.8229056662569465,2.1866850407675362,0.22964198827033422,0.08630724873044923,4.219341974077767,0.05253576762312104,0.04467086717155204,0.007864900451569004,26.47669207960258,25.452077420385624,0.12979082622637672,-0.35248108597886163,-0.3966124876779862,0.42114669026619683,0.05310951630360239,0.07668130992277433,0.0997097149141706,-0.04097414754692208,0.03557971664155657,-0.07655386418847865,0,0
UNH,2025-12-31,0.12308669040840425,0.16335291259992052,0.00335644570065804,8.832751843836947e-05,3.230172394300684e-05,0.00010625863351397301,0.3657039676207519,0.7883756756051071,2.208936351078525,0.23360606755582544,0.07870315038713616,0.26078028747433263,0.009786689042971338,0.0014132402950139116,0.008373448747957426,26.458485607269754,25.452554502770894,-0.06047308448680033,0.08386363083276338,-0.3313574394628134,0.2834514915133926,-0.08246150338935421,0.021988418902553875,0.11473373685833697,-0.17393095959062377,-0.04370584558740376,-0.13022511400322,0,0
ABBV,2024-12-31,,0.7089127267911535,0.0055621771950735005,-0.0014567606939478214,-0.0001627688460428674,-0.006616541353383459,0.11173341422451742,0.6601976825208392,39.638195488721806,0.44643055319211905,0.0408697775245818,-2.2321937321937324,0.4666931532247384,0.4474241822275195,0.01926897099721891,25.629732497403783,23.438093022327646,-0.0899347421994634,0.08080395775602711,0.15252066061068348,0.30112522218868143,-0.12367327268383121,0.03373853048436781,0.12679056892573304,0.19018460435336726,-0.04266863094930573,0.232853235302673,1,1
